bank_code,Merkmal,name,post_code,city,short_name,pan,bic,Datensatz-nummer,Änderungs-kennzeichen,Bankleitzahl-löschung,Nachfolge-Bankleitzahl
58662653,1,Raiffeisenbank östl Südeifel -alt-,54647,Dudeldorf,Raiffbk östl Südeifel -alt-,65252,GENODED1OSE,023201,U,0,00000000
58662653,2,Raiffeisenbank östl Südeifel (Gf P2),54647,Dudeldorf,Raiffbk östl Südeifel,75252,,054232,U,0,00000000
58691500,1,Volksbank Eifel Mitte -alt-,54591,Prüm,Volksbank Eifel Mitte -alt-,95156,GENODED1PRU,023851,U,0,00000000
58691500,2,Volksbank Eifel Mitte (Gf P2),54591,Prüm,Volksbank Eifel Mitte,85156,,054233,U,0,00000000
58751230,1,Sparkasse Mittelmosel-Eifel Mosel Hunsrück,54469,Bernkastel-Kues,Spk Mittelmosel EMH,55809,MALADE51BKS,012724,U,0,00000000
58760954,1,Vereinigte Volksbank Raiffeisenbank -alt-,54516,Wittlich,VVR-Bank Wittlich -alt-,65059,GENODED1WTL,032634,U,0,00000000
58760954,2,Vereinigte Volksbank Raiffeisenbank (Gf P2),54505,Wittlich,VVR-Bank Wittlich,75059,,054234,U,0,00000000
58761343,1,Raiffeisenbank Zeller Land -alt-,56867,Briedel,Raiffbk Zeller Land -alt-,65104,GENODED1BPU,028164,M,0,00000000
58761343,2,Raiffeisenbank Zeller Land,56859,Bullay,Raiffbk Zeller Land,65104,,023131,D,0,00000000
58761343,2,Raiffeisenbank Zeller Land,56865,Blankenrath,Raiffbk Zeller Land,65104,,023334,D,0,00000000
58761343,2,Raiffeisenbank Zeller Land,56856,Zell (Mosel),Raiffbk Zeller Land,65104,,024407,D,0,00000000
58761343,2,Raiffeisenbank Zeller Land (Gf P2),56867,Briedel,Raiffbk Zeller Land,75104,,054235,U,0,00000000
58771224,1,Deutsche Bank,54461,Bernkastel-Kues,Deutsche Bank,21162,DEUTDEDB587,050190,U,0,00000000
58771224,2,Deutsche Bank,56831,Traben-Trarbach,Deutsche Bank,21162,DEUTDEDB589,050191,U,0,00000000
58771224,2,Deutsche Bank,56851,Zell (Mosel),Deutsche Bank,21162,DEUTDEDB588,050192,U,0,00000000
58771242,1,Deutsche Bank,54461,Bernkastel-Kues,Deutsche Bank,27162,DEUTDE5M587,004917,U,0,00000000
58771242,2,Deutsche Bank,56831,Traben-Trarbach,Deutsche Bank,27162,DEUTDE5M589,006841,U,0,00000000
58771242,2,Deutsche Bank,56851,Zell (Mosel),Deutsche Bank,27162,DEUTDE5M588,006856,U,0,00000000
59000000,1,Bundesbank,66018,Saarbrücken,BBk Saarbrücken,20590,MARKDEF1590,011574,U,0,00000000
59010011,1,Postbank Ndl der Deutsche Bank,66386,St. Ingbert,Postbank Ndl Deutsche Bank,,PBNKDEFF011,053438,U,0,00000000
59010012,1,Postbank Ndl der Deutsche Bank,66538,Neunkirchen,Postbank Ndl Deutsche Bank,,PBNKDEFF012,053439,U,0,00000000
59010013,1,Postbank Ndl der Deutsche Bank,66763,Dillingen,Postbank Ndl Deutsche Bank,,PBNKDEFF013,053440,U,0,00000000
59010014,1,Postbank Ndl der Deutsche Bank,66333,Völklingen,Postbank Ndl Deutsche Bank,,PBNKDEFF014,053441,U,0,00000000
59010015,1,Postbank Ndl der Deutsche Bank,52062,Aachen,Postbank Ndl Deutsche Bank,,PBNKDEFF015,055306,U,0,00000000
59010016,1,Postbank Ndl der Deutsche Bank,76646,Bruchsal,Postbank Ndl Deutsche Bank,,PBNKDEFF016,055307,U,0,00000000
59010017,1,Postbank Ndl der Deutsche Bank,37073,Göttingen,Postbank Ndl Deutsche Bank,,PBNKDEFF017,055308,U,0,00000000
59010018,1,Postbank Ndl der Deutsche Bank,22880,Wedel,Postbank Ndl Deutsche Bank,,PBNKDEFF018,055309,U,0,00000000
59010019,1,Postbank Ndl der Deutsche Bank,59755,Arnsberg,Postbank Ndl Deutsche Bank,,PBNKDEFF019,055310,U,0,00000000
59010021,1,Postbank Ndl der Deutsche Bank,63739,Aschaffenburg,Postbank Ndl Deutsche Bank,,PBNKDEFF021,055463,U,0,00000000
59010022,1,Postbank Ndl der Deutsche Bank,36037,Fulda,Postbank Ndl Deutsche Bank,,PBNKDEFF022,055464,U,0,00000000
59010023,1,Postbank Ndl der Deutsche Bank,61348,Bad Homburg,Postbank Ndl Deutsche Bank,,PBNKDEFF023,055465,U,0,00000000
59010024,1,Postbank Ndl der Deutsche Bank,50321,Brühl,Postbank Ndl Deutsche Bank,,PBNKDEFF024,055466,U,0,00000000
59010025,1,Postbank Ndl der Deutsche Bank,34117,Kassel,Postbank Ndl Deutsche Bank,,PBNKDEFF025,055467,U,0,00000000
59010026,1,Postbank Ndl der Deutsche Bank,87600,Kaufbeuren,Postbank Ndl Deutsche Bank,,PBNKDEFF026,055468,U,0,00000000
59010027,1,Postbank Ndl der Deutsche Bank,25421,Pinneberg,Postbank Ndl Deutsche Bank,,PBNKDEFF027,055888,U,0,00000000
59010028,1,Postbank Ndl der Deutsche Bank,55232,Alzey,Postbank Ndl Deutsche Bank,,PBNKDEFF028,055890,U,0,00000000
59010029,1,Postbank Ndl der Deutsche Bank,61118,Bad Vilbel,Postbank Ndl Deutsche Bank,,PBNKDEFF029,055886,U,0,00000000
59010031,1,Postbank Ndl der Deutsche Bank,75015,Bretten,Postbank Ndl Deutsche Bank,,PBNKDEFF031,055887,U,0,00000000
59010032,1,Postbank Ndl der Deutsche Bank,18439,Stralsund,Postbank Ndl Deutsche Bank,,PBNKDEFF032,055889,U,0,00000000
59010033,1,Postbank Ndl der Deutsche Bank,95444,Bayreuth,Postbank Ndl Deutsche Bank,,PBNKDEFF033,055891,U,0,00000000
59010034,1,Postbank Ndl der Deutsche Bank,29614,Soltau,Postbank Ndl Deutsche Bank,,PBNKDEFF034,055892,U,0,00000000
59010035,1,Postbank Ndl der Deutsche Bank,27755,Delmenhorst,Postbank Ndl Deutsche Bank,,PBNKDEFF035,055893,U,0,00000000
59010036,1,Postbank Ndl der Deutsche Bank,93413,Cham,Postbank Ndl Deutsche Bank,,PBNKDEFF036,055894,U,0,00000000
59010037,1,Postbank Ndl der Deutsche Bank,50126,Bergheim,Postbank Ndl Deutsche Bank,,PBNKDEFF037,055895,U,0,00000000
59010038,1,Postbank Ndl der Deutsche Bank,86551,Aichach,Postbank Ndl Deutsche Bank,,PBNKDEFF038,055896,U,0,00000000
59010039,1,Postbank Ndl der Deutsche Bank,51465,Bergisch Gladbach,Postbank Ndl Deutsche Bank,,PBNKDEFF039,055897,U,0,00000000
59010040,1,Postbank Ndl der Deutsche Bank,71229,Leonberg,Postbank Ndl Deutsche Bank,,PBNKDEFF040,055898,U,0,00000000
59010041,1,Postbank Ndl der Deutsche Bank,76726,Germersheim,Postbank Ndl Deutsche Bank,,PBNKDEFF041,055899,U,0,00000000
59010042,1,Postbank Ndl der Deutsche Bank,46397,Bocholt,Postbank Ndl Deutsche Bank,,PBNKDEFF042,055900,U,0,00000000
59010044,1,Postbank Ndl der Deutsche Bank,44787,Bochum,Postbank Ndl Deutsche Bank,,PBNKDEFF044,055901,U,0,00000000
59010045,1,Postbank Ndl der Deutsche Bank,63477,Maintal,Postbank Ndl Deutsche Bank,,PBNKDEFF045,055902,U,0,00000000
59010047,1,Postbank Ndl der Deutsche Bank,40721,Hilden,Postbank Ndl Deutsche Bank,,PBNKDEFF047,055903,U,0,00000000
59010048,1,Postbank Ndl der Deutsche Bank,50226,Frechen,Postbank Ndl Deutsche Bank,,PBNKDEFF048,055904,U,0,00000000
59010049,1,Postbank Ndl der Deutsche Bank,38440,Wolfsburg,Postbank Ndl Deutsche Bank,,PBNKDEFF049,055905,U,0,00000000
59010051,1,Postbank Ndl der Deutsche Bank,49377,Vechta,Postbank Ndl Deutsche Bank,,PBNKDEFF051,057165,U,0,00000000
59010052,1,Postbank Ndl der Deutsche Bank,29439,Lüchow (Wendland),Postbank Ndl Deutsche Bank,,PBNKDEFF052,057164,U,0,00000000
59010053,1,Postbank Ndl der Deutsche Bank,38102,Braunschweig,Postbank Ndl Deutsche Bank,,PBNKDEFF053,057163,U,0,00000000
59010054,1,Postbank Ndl der Deutsche Bank,49565,Bramsche,Postbank Ndl Deutsche Bank,,PBNKDEFF054,057162,U,0,00000000
59010055,1,Postbank Ndl der Deutsche Bank,38350,Helmstedt,Postbank Ndl Deutsche Bank,,PBNKDEFF055,057161,U,0,00000000
59010056,1,Postbank Ndl der Deutsche Bank,14712,Rathenow,Postbank Ndl Deutsche Bank,,PBNKDEFF056,057160,U,0,00000000
59010057,1,Postbank Ndl der Deutsche Bank,33602,Bielefeld,Postbank Ndl Deutsche Bank,,PBNKDEFF057,057157,U,0,00000000
59010058,1,Postbank Ndl der Deutsche Bank,38300,Wolfenbüttel,Postbank Ndl Deutsche Bank,,PBNKDEFF058,057156,U,0,00000000
59010059,1,Postbank Ndl der Deutsche Bank,14974,Ludwigsfelde,Postbank Ndl Deutsche Bank,,PBNKDEFF059,057155,U,0,00000000
59010061,1,Postbank Ndl der Deutsche Bank,59494,Soest,Postbank Ndl Deutsche Bank,,PBNKDEFF061,057154,U,0,00000000
59010062,1,Postbank Ndl der Deutsche Bank,99867,Gotha,Postbank Ndl Deutsche Bank,,PBNKDEFF062,057153,U,0,00000000
59010063,1,Postbank Ndl der Deutsche Bank,02977,Hoyerswerda,Postbank Ndl Deutsche Bank,,PBNKDEFF063,057152,U,0,00000000
