group,bank_code,branch_id,bank_code_new,sic_number,head_office_bank_code,bank_code_type,valid_from,sic,euro_sic,language,short_name,name,domicile_address,postal_address,post_code,city,phone,fax,phone_code,country_code,postal_account,swift
02,240,0019,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Route de Florissant 59,Case postale,1211,Genève 2,022 704 14 04,,,,*80-2-2,
02,240,0020,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Place du Manoir 16,,1223,Cologny,022 737 20 88,,,,*80-2-2,
02,241,0000,,002412,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 20,Postfach,3800,Interlaken,033 826 35 55,,,,*80-2-2,UBSWCHZH38A
02,241,0001,,002412,230,3,20041029,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse,Postfach,3818,Grindelwald,033 854 42 11,,,,*80-2-2,
02,242,0000,,002428,230,2,20150613,1,1,2,UBS CH,UBS Switzerland AG,Avenue Léopold-Robert 16,Case postale,2300,"Chaux-de-Fonds, La",032 910 86 11,,,,*80-2-2,UBSWCHZH23A
02,242,0001,,002428,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rue Henry-Grandjean 5,Case postale,2400,"Locle, Le",032 930 78 11,,,,*80-2-2,
02,243,0000,,002433,230,2,20150613,1,1,2,UBS CH,UBS Switzerland AG,Place St-François 16,Case postale,1002,Lausanne,021 215 41 11,,,,*80-2-2,UBSWCHZH10A
02,243,0001,,002433,230,3,20050422,1,1,2,UBS CH,UBS Switzerland AG,Avenue de Chailly 1,Case postale,1000,Lausanne 12,021 654 94 11,,,,*80-2-2,
02,243,0003,,002433,230,3,20041030,1,1,2,UBS CH,UBS Switzerland AG,Grand-Rue 102,Case postale,1110,Morges 1,021 804 77 11,,,,*80-2-2,
02,243,0004,,002433,230,3,20041030,1,1,2,UBS CH,UBS Switzerland AG,Route de Cossonay 23,Case postale,1008,Prilly,021 621 76 11,,,,*80-2-2,
02,243,0005,,002433,230,3,20041030,1,1,2,UBS CH,UBS Switzerland AG,Place Neuve 2,Case postale,1009,Pully,021 721 75 11,,,,*80-2-2,
02,243,0007,,002433,230,3,20050422,1,1,2,UBS CH,UBS Switzerland AG,Centre Universitaire,Case postale,1015,Lausanne,021 215 59 11,,,,*80-2-2,
02,243,0008,,002433,230,3,20041030,1,1,2,UBS CH,UBS Switzerland AG,Avenue d'Ouchy 61,Case postale,1000,Lausanne 6,021 614 92 11,,,,*80-2-2,
